"By province","By economic activity","Item","UNIT","1985 Year","1986 Year","1987 Year","1988 Year","1989 Year","1990 Year","1991 Year","1992 Year","1993 Year","1994 Year","1995 Year","1996 Year","1997 Year","1998 Year","1999 Year","2000 Year","2001 Year","2002 Year","2003 Year","2004 Year","2005 Year","2006 Year","2007 Year","2008 Year","2009 Year","2010 Year","2011 Year","2012 Year","2013 Year","2014 Year","2015 Year","2016 Year","2017 Year","2018 Year","2019 Year","2020 Year","2021 Year","2022 Year","2023 Year","2024 Year",
"Seoul","GRDP at market prices","At current prices","","23894954","28300476","33326065","39099738","45269775","55301191","67241255","76204066","87267780","100628944","115489968","126685169","138846634","138569635","150844167","171126042","185951016","207221485","220525293","227984560","240165211","254845589","277068235","293244064","305877383","326942113","339841574","348077389","355173174","365436782","386818107","407074525","427092668","451385832","465940680","472863219","507460707","528484481","553011544","575035349",
"Seoul","GRDP at market prices","At chained 2020 year prices","","84551426","93984779","107015808","118718686","128135239","141429904","154609161","166740762","179822791","190793490","203696853","215433991","226124622","217654575","236996716","261575370","273292508","292063517","296817704","301533949","314613195","328443613","348285726","356180881","361203536","373707627","385357097","390618905","398144419","404439495","416886307","431299923","442507582","460496443","475206455","472863219","491388714","504359507","509686916","514920631",
"Seoul","GRDP at market prices","Substantial contribution","","","11.16","13.87","10.94","7.93","10.38","9.32","7.85","7.85","6.1","6.76","5.76","4.96","-3.75","8.89","10.37","4.48","6.87","1.63","1.59","4.34","4.4","6.04","2.27","1.41","3.46","3.12","1.37","1.93","1.58","3.08","3.46","2.6","4.07","3.19","-.49","3.92","2.64","1.06","1.03",
"Seoul","Mining and quarrying","At current prices","","14146","9483","4337","15166","2992","2277","8007","3202","9491","10552","9916","10237","7444","30527","9143","27023","15504","32730","15827","17230","41825","42250","40552","36756","42397","70735","69803","76004","73024","6110","5601","4108","3154","8587","7910","9047","9815","12163","6751","7033",
"Seoul","Mining and quarrying","At chained 2020 year prices","","103512","59571","26974","95477","17703","10792","31210","13752","39146","37575","30770","29358","19519","75670","23776","76187","42005","65349","38127","41705","53599","55841","49752","43216","51002","93404","80497","86481","78763","6675","5721","4019","2921","8122","7504","9047","11713","14091","6276","6135",
"Seoul","Mining and quarrying","Substantial contribution","","","-.03","-.02",".03","-.03","0",".01","-.01",".01","0","0","0","0",".02","-.02",".01","-.01","0","-.01","0","0","0","0","0","0",".01","0","0","0","-.02","0","0","0","0","0","0","0","0","0","0",
"Seoul","Manufacturing","At current prices","","2459728","3059710","3824234","4243650","4163422","4413146","5022123","6265903","6996077","8008016","9050574","9697360","9462833","8432640","8723987","10138107","10105242","11645505","12385395","12117801","13117734","13499764","15242541","14720667","15978150","16957194","17519990","19401323","19459864","19295312","19576443","20742563","21780217","22211599","21477153","19684474","20340269","20197325","20144396","21227294",
"Seoul","Manufacturing","At chained 2020 year prices","","6609647","7705147","9409280","9693457","9020924","9424744","9608189","11177562","11578086","12034730","12506777","13435199","12525754","10134914","11147245","12946887","12928172","15063886","16059833","14988336","16330929","17448442","18506261","18257732","17748689","19156673","19403231","21396347","21182261","20926960","20701569","20701158","21529835","21660078","21462062","19684474","20323280","20175264","19548126","19488647",
"Seoul","Manufacturing","Substantial contribution","","","1.71","2.39",".35","-.75",".41",".16","1.22",".29",".32",".31",".58","-.52","-1.3",".61",".93","-.01",".9",".37","-.37",".48",".37",".32","-.07","-.14",".41",".07",".53","-.06","-.07","-.06","0",".2",".03","-.04","-.38",".14","-.03","-.12","-.01",
"Seoul","Manufacture of Food Products and Tobacco Products","At current prices","","207612","225750","270693","295954","299067","327036","352393","416833","468880","492529","463695","448526","476323","465299","415316","475560","455888","512804","500568","486055","402711","347099","413560","416668","392856","371644","384395","409547","397481","444940","430833","481972","482820","484952","590695","614946","617191","658559","763545","866004",
"Seoul","Manufacture of Food Products and Tobacco Products","At chained 2020 year prices","","1181667","1233421","1375493","1430458","1293243","1230273","1185308","1295576","1289578","1184740","1109328","1033433","1043494","868904","760249","861117","824609","890843","848087","766511","630797","534220","578165","583277","593834","459061","449220","489205","461665","492559","462362","496023","496624","489329","600351","614946","638900","703936","704463","782990",
"Seoul","Manufacture of Food Products and Tobacco Products","Substantial contribution","","",".04",".09",".03","-.07","-.03","-.02",".05","0","-.04","-.03","-.03","0","-.06","-.04",".04","-.01",".02","-.01","-.02","-.04","-.03",".01","0","0","-.03","0",".01","-.01",".01","-.01",".01","0","0",".02","0",".01",".01","0",".02",
"Seoul","Manufacture of Textiles and Leather","At current prices","","534411","725090","996004","992633","912855","973376","1243289","1597351","1850280","2130756","2444470","2613729","2591616","2059723","2512753","3032067","3436416","3936432","3965569","4173385","4424550","4512025","5025200","5361473","6297367","6710527","7066259","8057063","7856803","7989265","7653000","7691171","7159826","7135403","7220648","6439390","6445283","6872879","6887718","7056524",
"Seoul","Manufacture of Textiles and Leather","At chained 2020 year prices","","2502058","3118940","3901159","3737483","3298361","3434836","3616410","4064778","4244890","4505349","4829291","4880176","4499569","3147462","4101653","4937860","5570690","6769053","6699320","6814491","7350268","7856758","8116714","8622648","8250019","8757852","8881889","10200215","9836113","9940731","9243126","8062996","7928303","7572593","7241425","6439390","6563268","6976833","5808760","5984100",
"Seoul","Manufacture of Textiles and Leather","Substantial contribution","","",".55",".64","-.13","-.3",".08",".09",".23",".09",".13",".15",".02","-.16","-.56",".45",".34",".23",".4","-.02",".03",".14",".13",".06",".11","-.08",".13",".03",".31","-.08",".02","-.15","-.25","-.03","-.08","-.07","-.17",".03",".08","-.22",".04",
"Seoul","Manufacture of Wood and  of Paper, printing and reproduction","At current prices","","164753","196333","247567","321137","336883","307183","350846","475429","557667","675069","812415","835426","825485","716438","873384","831505","871943","1085737","1000144","1010581","1389467","1408660","1478866","1478722","1444939","1377552","1408120","1492979","1482113","1533668","1584944","1904899","1869834","2143502","2342338","1790341","1826191","1988285","1843604","1788094",
"Seoul","Manufacture of Wood and  of Paper, printing and reproduction","At chained 2020 year prices","","545160","592935","713718","844952","861512","749265","758921","960336","1031148","1053479","1200493","1234354","1218478","1002335","1113376","1056307","1016452","1202977","1137831","1093213","1510360","1487233","1449969","1512358","1490292","1530834","1546484","1655659","1606437","1620156","1650566","1944290","1878743","2039160","2280202","1790341","1764735","1835874","1635158","1549775",
"Seoul","Manufacture of Wood and  of Paper, printing and reproduction","Substantial contribution","","",".06",".14",".14",".02","-.1",".01",".14",".05",".01",".09",".02","-.01","-.11",".06","-.03","-.02",".09","-.03","-.02",".17","-.01","-.01",".02","-.01",".01","0",".03","-.01","0",".01",".07","-.02",".04",".06","-.11","-.01",".01","-.04","-.02",
"Seoul","Manufacture of coal, fuel, chemical products","At current prices","","553289","675238","720955","785790","699603","660178","825947","977451","1047468","963024","1039323","1041603","1005787","1060124","720442","796710","750456","957129","962596","980178","1009628","873166","1114583","928116","1058221","1329837","1082445","1324754","1288689","1557159","1671730","1964137","2076703","1715656","1624548","1920939","2091724","1727090","1688441","1725424",
"Seoul","Manufacture of coal, fuel, chemical products","At chained 2020 year prices","","1074346","1153127","1218031","1251501","1090175","1097826","1158541","1329861","1340270","1235842","1209106","1239960","1113086","1034457","797132","910401","870636","1069715","1032853","957471","938940","848112","832570","976875","1186424","1538137","1215516","1450069","1405000","1681084","1700149","1954514","2129187","1784024","1683728","1920939","1892929","1585973","1575801","1641141",
"Seoul","Manufacture of coal, fuel, chemical products","Substantial contribution","","",".17",".13",".06","-.26",".01",".07",".18",".01","-.09","-.02",".02","-.08","-.05","-.18",".07","-.02",".09","-.02","-.03","-.01","-.04","-.01",".07",".07",".1","-.09",".06","-.01",".07","0",".06",".04","-.08","-.02",".05","-.01","-.07","0",".01",
"Seoul","Manufacture of Other Non-metallic Mineral Products and Metal Products","At current prices","","267043","282315","305127","359158","386428","387693","424570","559305","591443","634538","679349","631861","656413","526361","613984","545844","540252","650437","687440","879128","939885","1061074","1208228","964934","908267","902513","942481","971397","919108","961496","906618","1114061","980877","958602","1031366","912560","973606","956042","997584","999568",
"Seoul","Manufacture of Other Non-metallic Mineral Products and Metal Products","At chained 2020 year prices","","1374242","1354383","1344922","1380118","1487067","1532060","1414235","1909496","1828907","1910516","1860306","1736198","1713004","1203722","1483850","1302661","1241323","1452948","1502798","1748565","1852553","1836357","1838065","1084579","1131198","974608","984122","1013760","944754","984866","946761","1134193","1011316","995686","1042987","912560","815026","655371","619361","581930",
"Seoul","Manufacture of Other Non-metallic Mineral Products and Metal Products","Substantial contribution","","","-.02","-.01",".02",".07",".03","-.05",".22","-.03",".03","-.02","-.04","-.01","-.14",".09","-.05","-.02",".05",".01",".05",".02","0","0","-.18",".01","-.04","0",".01","-.02",".01","-.01",".05","-.03","0",".01","-.03","-.02","-.04","-.01","-.01",
"Seoul","Manufacture of electrical, Precision Instruments","At current prices","","402848","506804","698347","843084","854052","1089703","1102168","1286883","1453859","1943647","2403143","2781569","2638016","2464750","2388749","2819650","2589804","3007814","3775970","3068344","3270166","3477506","3847193","3715332","3916718","4168677","4336540","4726776","5055291","4345930","4699920","5100770","6843746","6889324","6050424","5553559","5862775","5659201","5719260","6201877",
"Seoul","Manufacture of electrical, Precision Instruments","At chained 2020 year prices","","463031","601207","886054","957835","909074","1109387","1133065","1292462","1366047","1577423","1752424","2179977","2037823","1812595","1914788","2306919","2233519","2607079","3402044","2678336","2913243","3342290","3792905","3830992","3510207","3976112","4144089","4387858","4578744","3990569","4268840","4688032","5616350","5777579","5935114","5553559","5911730","5963376","7230857","6778225",
"Seoul","Manufacture of electrical, Precision Instruments","Substantial contribution","","",".5",".85",".17","-.11",".42",".04",".23",".1",".26",".21",".51","-.14","-.21",".1",".32","-.05",".23",".44","-.36",".12",".2",".18",".01","-.11",".17",".05",".08",".06","-.18",".08",".12",".25",".05",".04","-.08",".08",".01",".23","-.06",
"Seoul","Manufacture of Machine and Transport Vehicles, other manufacturing n.e.c","At current prices","","329772","448180","585541","645894","674534","667977","722910","952651","1026480","1168453","1208179","1344646","1269193","1139945","1199359","1636771","1460483","1495152","1493108","1520130","1681327","1820234","2154911","1855422","1959782","2096444","2299750","2418807","2460379","2462854","2629398","2485553","2366411","2884160","2617134","2452739","2523499","2335269","2244244","2589803",
"Seoul","Manufacture of Machine and Transport Vehicles, other manufacturing n.e.c","At chained 2020 year prices","","890838","1148717","1540123","1583728","1487308","1492307","1520199","1760742","1877748","1911952","1780923","1909748","1696993","1371360","1586029","2074284","1818932","1864583","1848881","1791839","1974960","2327299","2611210","2221336","2108606","2347363","2583730","2724011","2794493","2794237","2871184","2622422","2577652","3074113","2656989","2452739","2736692","2506760","2077933","2161486",
"Seoul","Manufacture of Machine and Transport Vehicles, other manufacturing n.e.c","Substantial contribution","","",".4",".54",".05","-.1",".01",".02",".17",".08",".02","-.08",".08","-.12","-.18",".13",".24","-.12",".02","-.01","-.02",".07",".12",".09","-.12","-.03",".07",".06",".04",".02","0",".02","-.06","-.01",".11","-.09","-.04",".06","-.04","-.08",".02",
"Seoul","Professional, scientific and technical activities","At current prices","","948093","1153915","1249455","1332914","1574882","2326905","3459038","3754008","5102700","6574112","7402485","7681147","8679982","9493616","10351214","11224351","12199729","14160338","17392303","18109553","17556155","20228296","22704381","24981433","26270031","27299912","27568426","27687351","28874193","30075463","32149261","34079187","36169447","39148247","41250655","43553636","47949041","51319062","57553185","58500286",
"Seoul","Professional, scientific and technical activities","At chained 2020 year prices","","6181773","6895619","7226412","8220957","8938348","10519913","11551567","12548972","14032314","15286469","15141753","16321065","17511075","18080753","19730555","20826692","22853589","24826856","26487556","27284412","28986084","32768398","35805866","35462974","35633985","34531322","33945675","33171488","34337484","35483195","37098347","39250522","39902635","41854102","42642506","43553636","45574178","47064685","49392729","48680510",
"Seoul","Professional, scientific and technical activities","Substantial contribution","","",".46",".2",".52",".3",".62",".41",".44",".58",".52","-.06",".5",".44",".2",".63",".38",".64",".57",".46",".24",".5",".95",".74","-.08",".04","-.27","-.14","-.19",".28",".27",".37",".48",".14",".41",".16",".19",".43",".31",".48","-.15",
"Seoul","Business facilities management and business support services; rental and leasing activities","At current prices","","533300","724091","966109","1274921","1626320","2236906","2920989","3234819","3617935","4649550","5594419","6478188","8001887","8162182","7277822","8344624","8450134","9798592","10862787","11846747","12740616","13774004","15706607","17006048","16064391","18910064","20030855","20193510","20647899","21316483","22480883","24399526","25904352","28760409","30835364","28032054","27258841","28848482","32731567","33940022",
"Seoul","Business facilities management and business support services; rental and leasing activities","At chained 2020 year prices","","1875808","2227930","2718650","3323755","3903446","4111250","4569151","4994983","5356529","6130971","6578030","7763789","8489499","8976570","11292507","12571223","12635486","14132461","15619231","16674942","17116302","17305690","20054678","20971890","19590959","22296050","23813123","23316479","23720103","23960142","24246325","26063636","27478132","29723889","31522533","28032054","26859279","27090124","28972029","29583112",
"Seoul","Business facilities management and business support services; rental and leasing activities","Substantial contribution","","",".42",".56",".65",".57",".19",".45",".4",".31",".6",".34",".87",".48",".33","1.52",".55",".02",".54",".5",".33",".14",".06",".86",".26","-.38",".73",".39","-.12",".1",".06",".07",".44",".33",".5",".39","-.73","-.25",".05",".38",".12",
"Busan","GRDP at market prices","At current prices","","7277759","8238874","9534320","10962365","11931482","14854415","17518898","18846969","20817347","23888581","27764713","30939937","33406207","34064701","36352695","38204973","42872522","46092725","50404904","54200150","56159750","58288878","62940006","68124996","67772122","71127712","72595737","75333475","77941129","82824354","88748972","92379867","93177783","96494588","99530641","98225367","106510275","113844056","116365537","121066923",
"Busan","GRDP at market prices","At chained 2020 year prices","","23347627","25675464","28321174","31017664","31521782","36060447","38396543","38570528","40536998","43121875","47254766","49859716","51257871","48876024","54921141","57257388","61423470","64264520","66659883","68461182","70874644","73577989","77619311","79672491","76973870","80990869","83097019","85205751","86953935","90937348","94037092","96661499","96123065","99017683","101231135","98225367","100759135","102497863","105247283","108065523",
"Busan","GRDP at market prices","Substantial contribution","","","9.97","10.3","9.52","1.63","14.4","6.48",".45","5.1","6.38","9.58","5.51","2.8","-4.65","12.37","4.25","7.28","4.63","3.73","2.7","3.53","3.81","5.49","2.65","-3.39","5.22","2.6","2.54","2.05","4.58","3.41","2.79","-.56","3.01","2.24","-2.97","2.58","1.73","2.68","2.68",
"Busan","Mining and quarrying","At current prices","","18426","8224","2486","16264","9432","11856","10359","19040","17275","13220","7388","10460","9611","11348","11252","13938","21730","17874","17833","13143","15450","7965","7555","9732","6606","10431","16539","22225","18288","16778","16973","17071","24219","11872","5561","8720","8676","5976","6250","4991",
"Busan","Mining and quarrying","At chained 2020 year prices","","58352","22526","6853","46105","26582","24400","18839","35007","31885","21174","11784","16639","14421","16082","17634","23000","27103","22325","24156","20252","21464","11734","10601","13256","10104","14576","19991","26280","20617","19092","17053","16511","22262","11132","5240","8720","9179","5753","4778","3684",
"Busan","Mining and quarrying","Substantial contribution","","","-.16","-.07",".15","-.06","-.01","-.02",".05","-.01","-.03","-.02",".01","0","0","0",".01",".01","-.01","0","-.01","0","-.01","0","0","0","0",".01",".01","-.01","0","0","0",".01","-.01","-.01","0","0","0","0","0",
"Busan","Manufacturing","At current prices","","2283412","2693305","3135331","3563898","3462193","4299524","4794917","4720959","5001780","5486410","6069117","6009241","6267391","6391316","6781647","7004912","7308212","7891371","7983567","8946960","9349649","9891903","10902427","11895599","11979764","13108495","13584596","13814877","14078915","14826141","16171653","16938788","16190975","16222246","16309308","15330176","16472685","18183413","18602778","20132132",
"Busan","Manufacturing","At chained 2020 year prices","","6798631","7457703","8166583","8634988","8002225","9803073","9714111","8903425","8793419","8918253","9257037","9055457","9006204","8133184","9281232","9503309","9814665","10676379","10679641","11099028","11610652","12488875","14035471","14532799","12652258","14671331","14769342","14950945","15063913","15881954","16867056","17139618","16453106","16462692","16448961","15330176","15715839","16221933","15878622","16387278",
"Busan","Manufacturing","Substantial contribution","","","3.04","3.11","1.89","-2.38","6.53","-.26","-2.28","-.31",".34",".87","-.48","-.11","-1.82","2.65",".45",".6","1.5",".01",".62",".76","1.26","2.1",".61","-2.26","2.82",".12",".23",".14",".98","1.11",".29","-.73",".01","-.01","-1.11",".39",".5","-.34",".51",
"Busan","Manufacture of Food Products and Tobacco Products","At current prices","","113458","133378","132887","128527","140704","182132","206958","221169","260910","317652","304818","282444","291582","327821","325198","369149","389142","372054","390742","483922","417964","392443","362032","426501","435163","489096","511816","512063","581949","629328","710442","752306","771053","862851","873792","856594","918158","998574","1055844","1115816",
"Busan","Manufacture of Food Products and Tobacco Products","At chained 2020 year prices","","644899","732235","673306","620576","605217","686229","706326","692981","723430","769283","739434","660396","649400","620353","603362","681512","719013","661770","677389","779917","674247","563088","648920","550045","527858","600652","585005","617080","683604","698876","761966","774137","792956","870610","887914","856594","950292","1067696","976144","1010953",
"Busan","Manufacture of Food Products and Tobacco Products","Substantial contribution","","",".21","-.13","-.11","-.03",".16",".04","-.02",".05",".08","-.05","-.12","-.02","-.04","-.03",".12",".05","-.07",".02",".12","-.12","-.12",".1","-.09","-.03",".09","-.02",".04",".07",".02",".07",".01",".02",".08",".02","-.03",".1",".11","-.08",".03",
"Busan","Manufacture of Textiles and Leather","At current prices","","1017164","1229175","1438690","1566218","1367056","1653294","1636767","1667344","1532384","1465305","1344513","1342638","1492709","1490117","1762975","1588577","1580200","1485667","1219398","1224504","1157130","1138481","1143029","1097993","1115800","1268319","1299232","1253689","1373856","1411009","1364557","1362801","1306137","1221945","1154377","1104070","1015129","1115731","1078455","1092426",
"Busan","Manufacture of Textiles and Leather","At chained 2020 year prices","","3452238","3832857","4083447","4273577","3580265","4234605","3463857","3081487","2554523","2251653","1931089","1822376","1884117","1655101","2092110","1881691","1863398","1859329","1499251","1455138","1399141","1447577","1582815","1528636","1399254","1544859","1525513","1489097","1603311","1643720","1564934","1375822","1393161","1281760","1157005","1104070","1042889","1089656","913976","955506",
"Busan","Manufacture of Textiles and Leather","Substantial contribution","","","1.54",".98",".7","-2.32","2.09","-2.03","-1.03","-1.51","-.87","-.87","-.27",".15","-.54","1.15","-.49","-.04","-.01","-.62","-.07","-.09",".07",".18","-.06","-.14",".17","-.02","-.04",".13",".04","-.08","-.19",".02","-.11","-.12","-.05","-.06",".04","-.16",".04",
"Busan","Manufacture of Wood and  of Paper, printing and reproduction","At current prices","","80765","85641","102813","133263","140321","155451","174883","176217","216845","250244","249563","231127","215256","177779","234253","213965","239394","261412","239227","238105","260555","260426","264168","317617","291359","268583","296042","282982","290077","304406","326076","369339","317385","312229","325132","328212","346586","355604","364695","397066",
"Busan","Manufacture of Wood and  of Paper, printing and reproduction","At chained 2020 year prices","","133632","129322","148291","175377","179212","189470","188968","177878","200390","195140","184306","170479","158717","124241","149166","135786","139412","144694","135963","128675","141482","215625","214786","272764","318624","310335","327079","311595","305751","314715","331959","378596","332104","302231","319467","328212","321243","300281","291030","324264",
"Busan","Manufacture of Wood and  of Paper, printing and reproduction","Substantial contribution","","","-.04",".15",".2",".03",".07","0","-.06",".12","-.03","-.06","-.07","-.05","-.14",".1","-.06",".01",".02","-.03","-.03",".04",".24","0",".11",".08","-.01",".02","-.02","-.01",".01",".02",".05","-.05","-.03",".02",".01","-.01","-.02","-.01",".04",
"Busan","Manufacture of coal, fuel, chemical products","At current prices","","253393","310943","325516","387177","375208","414180","506103","497627","552307","565735","616999","610211","622381","652388","612435","555878","574442","662247","649805","737739","857573","827807","922665","828867","973673","1078226","1194970","1288020","1315616","1422608","1695403","1767514","1758375","1681239","1747294","1699447","1863797","1877691","1926522","2066128",
"Busan","Manufacture of coal, fuel, chemical products","At chained 2020 year prices","","603124","650712","672589","753837","715015","842938","904466","859793","900521","928583","921782","936659","889043","819640","876517","828221","873235","977719","915377","937081","1039698","1191429","1191744","1197647","1089947","1293420","1377662","1448661","1486404","1600065","1785961","1819498","1866321","1802745","1812790","1699447","1796803","1739806","1697864","1790530",
"Busan","Manufacture of coal, fuel, chemical products","Substantial contribution","","",".27",".13",".41","-.18",".56",".2","-.14",".13",".08","-.02",".04","-.1","-.15",".13","-.09",".08",".16","-.09",".03",".15",".22","0",".01","-.11",".27",".1",".08",".04",".13",".2",".04",".05","-.06",".01","-.11",".1","-.06","-.04",".09",
"Busan","Manufacture of Other Non-metallic Mineral Products and Metal Products","At current prices","","391877","471844","561380","653538","678468","868664","1069782","905486","1162583","1236814","1512249","1433280","1389316","1407842","1425527","1559848","1642806","1864584","2080637","2641162","2757711","2865933","3204331","3859447","3468657","3945489","4147280","4219195","4047915","4229112","4178903","4105650","3974217","3924654","3987021","3768645","4937739","5236453","5551292","5592632",
"Busan","Manufacture of Other Non-metallic Mineral Products and Metal Products","At chained 2020 year prices","","1574182","1817863","1927476","1906662","1992490","2591596","2727476","2416279","2741488","2816456","3160143","3004632","2795871","2484672","2610240","2818275","2883345","3224401","3463024","3776701","3886392","4034758","4694423","4660779","3987092","3974471","3990359","4102457","3942456","4186886","4295768","4123770","3928313","3856074","3922002","3768645","3629468","3165654","3304986","3294257",
"Busan","Manufacture of Other Non-metallic Mineral Products and Metal Products","Substantial contribution","","",".83",".35","-.06",".27","1.71",".31","-.7",".65",".15",".63","-.27","-.32","-.46",".21",".31",".09",".45",".3",".37",".14",".19",".8","-.04","-.82","-.02",".02",".16","-.22",".32",".13","-.19","-.21","-.08",".07","-.16","-.14","-.59",".2","-.02",
"Busan","Manufacture of electrical, Precision Instruments","At current prices","","58622","77518","94251","109282","129830","175841","207277","207513","211379","328688","424306","396690","476847","463459","551526","672119","680875","772476","788864","1027418","1055423","1134625","1431998","1221187","1370259","1457772","1400500","1693543","1810313","1857316","2060929","2027746","2200884","2223575","2435625","2493095","2500472","2708477","2522638","2969617",
"Busan","Manufacture of electrical, Precision Instruments","At chained 2020 year prices","","40111","55090","71449","73433","80666","106204","132329","127549","122274","163003","190632","195357","234411","216761","284500","364246","396918","463238","497024","629555","687274","767718","1250525","1269126","1422747","1455670","1393024","1655022","1740934","1829590","1979139","1939895","1977360","2025108","2433646","2493095","2559793","2818603","2896428","3054251",
"Busan","Manufacture of electrical, Precision Instruments","Substantial contribution","","",".3",".28",".03",".1",".34",".29","-.04","-.05",".34",".23",".04",".26","-.11",".43",".43",".16",".27",".12",".42",".17",".22","1.22",".03",".22",".05","-.09",".36",".12",".12",".18","-.05",".04",".06",".46",".06",".07",".24",".07",".12",
"Busan","Manufacture of Machine and Transport Vehicles, other manufacturing n.e.c","At current prices","","368133","384806","479794","585893","630606","849962","993147","1045603","1065372","1321972","1616669","1712851","1779300","1871910","1869733","2045376","2201353","2472931","2614894","2594110","2843293","3272188","3574204","4143987","4324853","4601010","4734756","4565385","4659189","4972362","5835343","6553432","5862924","5995753","5786067","5080113","4890804","5890883","6103332","6898447",
"Busan","Manufacture of Machine and Transport Vehicles, other manufacturing n.e.c","At chained 2020 year prices","","1156066","1136925","1467521","1677328","1599900","2082448","2420424","2296713","2423944","2702479","3194640","3291032","3279079","3044730","3403848","3556792","3717474","4207532","4454271","4264941","4675499","5079267","4889097","5444989","4133702","5606322","5701905","5391816","5393485","5699858","6257744","6842637","6259360","6416035","5929570","5080113","5415351","6335960","5939778","6176307",
"Busan","Manufacture of Machine and Transport Vehicles, other manufacturing n.e.c","Substantial contribution","","","-.08","1.36",".72","-.25","1.59",".93","-.29",".31",".59","1.01",".18","-.02","-.38",".65",".23",".24",".68",".31","-.22",".46",".44","-.21",".65","-1.46","2.27",".11","-.35","0",".34",".59",".61","-.6",".16","-.47","-.83",".34",".78","-.32",".21",
"Busan","Professional, scientific and technical activities","At current prices","","119260","146248","159701","167681","199228","249945","382702","619913","684405","721745","811601","911024","995450","1008573","947870","1049065","1075972","1100514","1504893","1750183","1877589","2026598","2162268","2497315","2725778","2781713","2876543","3085335","3227037","3443642","3793155","3632608","3502627","3799311","4447315","4790139","4904964","5275338","6045809","6172355",
"Busan","Professional, scientific and technical activities","At chained 2020 year prices","","763266","907029","922751","1012998","1012080","1172892","1684071","1892936","2341197","2110804","2254726","2372565","2518569","2402919","2262221","2439493","2496905","2399737","2833801","3165907","3630382","3737702","3851276","3923436","3987333","3765323","3776009","3901179","4056003","4299903","4592238","4339091","3982462","4164647","4625527","4790139","4590979","4681838","5043265","4971747",
"Busan","Professional, scientific and technical activities","Substantial contribution","","",".31",".03",".16","0",".27",".73",".27",".78","-.32",".21",".15",".18","-.14","-.17",".2",".06","-.1",".43",".35",".47",".1",".11",".06",".06","-.22",".01",".13",".16",".25",".28","-.24","-.32",".17",".44",".16","-.2",".09",".36","-.07",
"Busan","Business facilities management and business support services; rental and leasing activities","At current prices","","51795","71713","99115","139093","175931","193977","246065","315997","376805","389809","463514","539762","634713","706444","587346","633044","612576","631873","811386","971769","1083252","1471173","1519545","1713015","1696749","1910690","1914603","2010701","2309714","2743061","3160548","3224172","3565671","3811618","3948018","3395222","3437491","3807877","4071467","4262133",
"Busan","Business facilities management and business support services; rental and leasing activities","At chained 2020 year prices","","133012","184719","236897","271076","295630","305965","401318","438527","554464","533491","572199","685552","775440","837119","895607","937005","899033","902527","1152104","1311263","1389737","1875083","1969522","2141315","2095846","2281672","2319085","2354417","2691242","3126603","3462158","3508077","3843410","3985974","4074738","3395222","3382999","3594791","3661109","3753674",
"Busan","Business facilities management and business support services; rental and leasing activities","Substantial contribution","","",".28",".25",".15",".11",".05",".41",".13",".44","-.07",".12",".33",".23",".15",".14",".07","-.07",".01",".38",".22",".11",".67",".13",".21","-.05",".22",".04",".04",".38",".48",".36",".05",".33",".14",".09","-.66","-.01",".2",".06",".09",
"Daegu","GRDP at market prices","At current prices","","4080291","4869093","5805304","6617949","7422126","9211696","10650417","11825377","12921708","15267534","17630254","19758738","21767428","20937830","22693036","24759267","26455799","28700889","30448453","33029987","34270388","36069193","38564227","39783162","40600908","43460748","45685977","47968778","50155964","52255184","56003260","57550511","59404957","60778388","62510363","62597844","66531828","70327334","72359049","74524312",
"Daegu","GRDP at market prices","At chained 2020 year prices","","15644498","17390031","19626741","21207228","22194153","25248423","26132643","26582988","27572289","29896396","32286677","34448421","36360587","32950109","36054484","38222898","39080125","40786831","41639218","43975341","44982348","46334493","48529956","49121571","47845011","50816942","52566711","54473853","56400530","57929076","60132325","60452128","61561805","62307884","63321613","62597844","65647017","67070053","67161010","66631619",
"Daegu","GRDP at market prices","Substantial contribution","","","11.16","12.86","8.05","4.65","13.76","3.5","1.72","3.72","8.43","8","6.7","5.55","-9.38","9.42","6.01","2.24","4.37","2.09","5.61","2.29","3.01","4.74","1.22","-2.6","6.21","3.44","3.63","3.54","2.71","3.8",".53","1.84","1.21","1.63","-1.14","4.87","2.17",".14","-.79",
"Daegu","Mining and quarrying","At current prices","","329","113","196","235","252","58","244","140","169","178","766","1692","1868","1079","1074","1330","2093","3178","2604","2324","2977","2560","2561","2193","1506","1643","2700","7276","2390","2219","1665","1785","2221","1806","1385","1857","1141","931","989","9495",
"Daegu","Mining and quarrying","At chained 2020 year prices","","1511","446","773","950","970","162","602","351","423","386","1644","3612","3749","2039","2239","2738","4236","5592","5291","4899","5283","5185","4894","3462","2425","2353","3302","8701","2715","2553","1674","1729","2041","1693","1305","1857","1207","897","756","7024",
"Daegu","Mining and quarrying","Substantial contribution","","","-.01","0","0","0","0","0","0","0","0","0",".01","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".01","-.01","0","0","0","0","0","0","0","0","0","0",".01",
"Daegu","Manufacturing","At current prices","","1550171","1916267","2338512","2554782","2678822","3071145","3224019","3115108","3082559","3525014","4367898","4564055","4911966","4613572","5005185","5332207","5045245","5432142","5423722","6206392","6644313","6857344","7323989","7266323","7568067","8807664","9620704","10307221","10934748","11163821","11801795","12086896","12405853","12342229","12181816","11359915","12169731","13592386","14061913","14779909",
