"By province","By economic activity","Item","UNIT","1985 Year","1986 Year","1987 Year","1988 Year","1989 Year","1990 Year","1991 Year","1992 Year","1993 Year","1994 Year","1995 Year","1996 Year","1997 Year","1998 Year","1999 Year","2000 Year","2001 Year","2002 Year","2003 Year","2004 Year","2005 Year","2006 Year","2007 Year","2008 Year","2009 Year","2010 Year","2011 Year","2012 Year","2013 Year","2014 Year","2015 Year","2016 Year","2017 Year","2018 Year","2019 Year","2020 Year","2021 Year","2022 Year","2023 Year","2024 Year",
"Gyeongsangnam-do","Business facilities management and business support services; rental and leasing activities","At chained 2020 year prices","","61096","83913","119004","131934","142690","185864","201673","282746","320436","359758","393136","475317","628501","430907","449122","483196","448414","438771","577347","629990","687114","697036","928044","890753","943545","1125060","1587639","2142031","2216710","2202304","2271851","2407842","2352604","2376037","2466360","2195292","2300858","2394434","2401623","2465605",
"Gyeongsangnam-do","Business facilities management and business support services; rental and leasing activities","Substantial contribution","","",".08",".11",".04",".03",".13",".05",".2",".08",".08",".06",".13",".21","-.24",".04",".05","-.05","-.01",".18",".06",".07",".01",".26","-.04",".05",".17",".42",".47",".06","-.01",".06",".11","-.04",".02",".07","-.22",".09",".08",".01",".05",
"Jeju","GRDP at market prices","At current prices","","814565","909027","1101134","1315019","1628506","1978256","2492049","2775190","3081345","3773911","4495398","4868206","5285204","5210834","5678519","6157162","6599649","7416775","7941851","8711535","9037775","9346908","10070249","10447789","11490146","12072773","13128328","14135353","14926681","16197095","18142055","20020100","21672308","22040507","22267086","21668785","22757094","24282333","26094554","26928491",
"Jeju","GRDP at market prices","At chained 2020 year prices","","3392098","3530699","3973942","4398391","5296178","5492918","6149415","6877746","7038798","7536093","8431472","8757622","9177930","8589345","9161973","9966921","10670090","11226807","11479461","12183631","12172710","12476517","13184750","13317143","14075394","14355129","15281694","16250397","17059419","18292247","19717895","21100823","22564140","22777044","22951902","21668785","22346390","23364427","24143175","24229274",
"Jeju","GRDP at market prices","Substantial contribution","","","4.09","12.55","10.68","20.41","3.71","11.95","11.84","2.34","7.07","11.88","3.87","4.8","-6.41","6.67","8.79","7.06","5.22","2.25","6.13","-.09","2.5","5.68","1","5.69","1.99","6.45","6.34","4.98","7.23","7.79","7.01","6.93",".94",".77","-5.59","3.13","4.56","3.33",".36",
"Jeju","Mining and quarrying","At current prices","","1304","1389","2084","6280","8747","9062","15454","23456","20975","32684","32941","31501","42541","43272","46274","19614","24139","28588","44915","32011","34968","20480","24766","18761","29167","34587","39531","44544","49659","39457","40738","41759","32352","20791","10270","10999","18332","20044","25458","21162",
"Jeju","Mining and quarrying","At chained 2020 year prices","","6659","6052","9175","28253","39046","28939","43645","66979","59678","79847","79845","75991","96177","92055","109232","52794","58061","63567","85618","71361","62032","41466","47295","29594","46913","49477","48357","53284","56415","45397","40944","40400","29744","19496","9676","10999","19394","19301","19452","15642",
"Jeju","Mining and quarrying","Substantial contribution","","","-.01",".08",".39",".18","-.14",".23",".33","-.09",".23","0","-.04",".17","-.03",".15","-.42",".03",".03",".13","-.09","-.05","-.13",".03","-.09",".11",".01","-.01",".03",".02","-.06","-.02","0","-.06","-.05","-.05",".01",".04","0","0","-.02",
"Jeju","Manufacturing","At current prices","","35849","38450","42804","48722","66838","81029","88328","109785","118803","155517","130086","157362","160070","185305","193747","221386","232882","258787","277647","311312","331952","300057","361685","412129","481814","440969","474407","473207","513430","566864","681449","748068","818306","788754","749758","726089","766551","756914","802745","813780",
"Jeju","Manufacturing","At chained 2020 year prices","","132871","134884","142409","152117","202274","236145","230453","266896","262958","263416","278020","276603","281616","262188","315636","364046","376848","404150","426305","449503","485118","463149","520809","590397","605180","502358","525809","527925","565602","608624","706347","754917","834660","797689","758664","726089","773026","762677","752295","731426",
